brand,name,actual_price,discounted_price,discount_percentage,rating,product_url
Saraf RS Jewellery,Rose Gold-Plated Jewellery Set,Rs. 11695,Rs. 2339,(80% OFF),"4.4
|
163",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-rose-gold-plated-cubic-zirconia-studded-necklace--earrings/24487810/buy
Saraf RS Jewellery,Silver-Plated Jewellery Set,Rs. 10845,Rs. 1952,(82% OFF),"4.3
|
228",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-women-silver-plated-ad-studded-necklace-and-earrings/21782042/buy
OOMPH,Men Textured Ring,Rs. 2915,Rs. 379,(Rs. 2536 OFF),No Rating,https://www.myntra.com/ring/oomph/oomph-men-textured-gothic-dragon-ring/33077560/buy
BLACK MAMBA,Plating Cobra Bracelet,Rs. 2380,Rs. 952,(60% OFF),"4.3
|
65",https://www.myntra.com/bracelet/black+mamba/black-mamba-men-black-plating-cobra-bracelet/31036792/buy
Sangria,Set Of 3 Finger Rings,Rs. 999,Rs. 299,(70% OFF),"4
|
100",https://www.myntra.com/ring/sangria/sangria-set-of-3-silver-plated-adjustable-finger-rings/25057466/buy
Saraf RS Jewellery,AD Studded Jewellery Set,Rs. 6095,Rs. 1219,(80% OFF),"4.2
|
47",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-american-diamond-studded-necklace-with-earrings/27278474/buy
JOKER & WITCH,Stone-Studded Finger Ring,Rs. 1699,Rs. 254,(85% OFF),"4.3
|
104",https://www.myntra.com/ring/joker+%26+witch/-joker--witch-silver-toned--white-stone-studded-finger-ring/17224956/buy
Sangria,Gold-Plated Pendant Necklace,Rs. 1999,Rs. 439,(78% OFF),No Rating,https://www.myntra.com/pendant/sangria/sangria-gold-plated-tarnish-free-emerald-stone-studded-pendant-necklace/32741799/buy
Saraf RS Jewellery,Silver-Plated Jewellery Set,Rs. 11145,Rs. 1783,(84% OFF),"4.5
|
177",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-silver-plated-cz-studded-jewellery-set/23780128/buy
Zaveri Pearls,Set Of 3 Rose Gold-Plated CZ-Studded & Beaded Adjustable Contemporary Finger Rings,Rs. 1995,Rs. 299,(85% OFF),"4.2
|
988",https://www.myntra.com/ring/zaveri+pearls/zaveri-pearls-set-of-3-rose-gold-plated-white-cz-studded--beaded-adjustable-contemporary-finger-rings/15394212/buy
SOHI,Gold Plated Necklace,Rs. 2299,Rs. 413,(82% OFF),"4.3
|
230",https://www.myntra.com/necklace-and-chains/sohi/sohi-gold-plated-necklace/24202866/buy
Saraf RS Jewellery,Gold-Plated Jewellery Set,Rs. 4545,Rs. 1136,(75% OFF),"4.5
|
6",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-gold-plated-ad-stones-studded-lakshmi-ji-temple-jewellery-set/26234274/buy
JEWILLEY,Stainless Steel Anklet,Rs. 1299,Rs. 597,(54% OFF),No Rating,https://www.myntra.com/anklet/jewilley/jewilley-stainless-steel-gold-plated-anti-tarnish-waterproof-anklet/32622930/buy
Jazz and Sizzle,Set Of 2 Silver-Plated Anklets,Rs. 1999,Rs. 299,(85% OFF),"4.2
|
114",https://www.myntra.com/anklet/jazz+and+sizzle/jazz-and-sizzle-set-of-2-silver-plated-crystal-studded--beaded-anklets/23937504/buy
Saraf RS Jewellery,Gold-Plated Drop Earrings,Rs. 4345,Rs. 869,(80% OFF),"4.3
|
15",https://www.myntra.com/earrings/saraf+rs+jewellery/saraf-rs-jewellery-gold-plated-american-diamond-contemporary-drop-earrings/27301600/buy
Anouk,Gold-Plated Pendants with Chains,Rs. 1999,Rs. 399,(80% OFF),"4
|
6",https://www.myntra.com/pendant/anouk/anouk-gold-plated-square-pendants-with-chains/30965830/buy
Saraf RS Jewellery,Gold-Plated Jewellery Set,Rs. 7245,Rs. 1449,(80% OFF),"4.2
|
141",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-gold-plated-elephant-motif-beads-beaded-temple-necklace-with-earrings/27278472/buy
SALTY,Women Watch Ring,Rs. 3199,Rs. 749,(Rs. 2450 OFF),"4.5
|
822",https://www.myntra.com/ring/salty/salty-women-stretchable-watch-ring---rs12398/26347800/buy
Anouk,Set Of 2 Mangalsutra,Rs. 999,Rs. 299,(70% OFF),No Rating,https://www.myntra.com/mangalsutra/anouk/anouk-set-of-2-gold-plated-american-diamond-studded--beaded-mangalsutra/32165006/buy
Saraf RS Jewellery,Gold-Plated Jewellery Set,Rs. 5595,Rs. 895,(84% OFF),"4.3
|
243",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-gold-plated-cubic-zirconia-studded-jewellery-set/24358814/buy
RICHEERA,Brass Beaded Necklace,Rs. 2999,Rs. 299,(90% OFF),"4.3
|
74",https://www.myntra.com/necklace-and-chains/richeera/richeera-brass-beaded-necklace/24442496/buy
Designs & You,Rose Gold-Plated Pendant,Rs. 1819,Rs. 345,(81% OFF),"4.3
|
216",https://www.myntra.com/pendant/designs+%26+you/designs--you-rose-gold-plated-stainless-steel-geometric-tassel-pendant--chain/25131686/buy
Saraf RS Jewellery,Gold Plated Head Jewellery,Rs. 6795,Rs. 1698,(75% OFF),No Rating,https://www.myntra.com/head-jewellery/saraf+rs+jewellery/saraf-rs-jewellery-gold-plated-american-diamond-studded-bun-pin-head-jewellery/29332362/buy
Sangria,German Silver Finger Ring,Rs. 1399,Rs. 265,(81% OFF),"3.9
|
15",https://www.myntra.com/ring/sangria/sangria-german-silver-textured-oxidized-adjustable-finger-ring/22974786/buy
Voylla,Silver-Plated Dual-Finger Ring,Rs. 499,Rs. 229,(54% OFF),"4.5
|
1.1k",https://www.myntra.com/ring/voylla/voylla-oxidised-silver-plated-dual-finger-statement-ring/10346991/buy
Saraf RS Jewellery,Gold-Plated Stone Studded Lakshmi Design Temple Jewellery Set,Rs. 5795,Rs. 1159,(80% OFF),"4.5
|
32",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-gold-plated-green--pink-stone-studded-lakshmi-design-temple-jewellery-set/17655496/buy
MINUTIAE,Gold-Plated Necklace,Rs. 1999,Rs. 399,(80% OFF),"4.6
|
30",https://www.myntra.com/necklace-and-chains/minutiae/minutiae-brass-gold-plated-stones-studded-necklace/29760638/buy
MINUTIAE,Gold-Plated Mangalsutra,Rs. 1999,Rs. 499,(75% OFF),"4.8
|
45",https://www.myntra.com/mangalsutra/minutiae/minutiae-gold-plated-crystals-mangalsutra/27477140/buy
Saraf RS Jewellery,Silver-Plated Jewellery Set,Rs. 22395,Rs. 4479,(80% OFF),"4.2
|
24",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-silver-plated-cz-studded-jewellery-set/23213166/buy
MINUTIAE,Gold-Plated Mangalsutra,Rs. 1999,Rs. 599,(70% OFF),"4.4
|
234",https://www.myntra.com/mangalsutra/minutiae/minutiae-gold-plated-crystals-studded-mangalsutra/22652204/buy
Jewels Galaxy,Rose Gold-Plated Four Leaves Clover Design Magnetic Pendant With Chain,Rs. 1329,Rs. 305,(77% OFF),"4.5
|
607",https://www.myntra.com/pendant/jewels+galaxy/jewels-galaxy-rose-gold-plated-four-leaves-clover-design-magnetic-pendant-with-chain/21028690/buy
Saraf RS Jewellery,Women Rose Gold Jewellery Set,Rs. 9445,Rs. 1889,(80% OFF),"4.4
|
364",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-women-rose-gold-plated-red--white-ad-studded-handcrafted-jewellery-set/19272538/buy
Jewels Galaxy,Set Of 23 Silver Plated Ring,Rs. 1259,Rs. 239,(81% OFF),"4.2
|
213",https://www.myntra.com/ring/jewels+galaxy/jewels-galaxy-set-of-23-silver-plated-stackable-finger-ring/29743728/buy
VIEN,Gold-Plated Choker Chain,Rs. 1599,Rs. 499,(Rs. 1100 OFF),"4.5
|
75",https://www.myntra.com/necklace-and-chains/vien/vien-gold-plated-stainless-steel-arc-shape-curved-pendant-snake-chain/29594980/buy
Saraf RS Jewellery,Gold-Plated Beaded AD Studded Mangalsurta & Earrings Set,Rs. 4000,Rs. 1000,(75% OFF),"3.9
|
10",https://www.myntra.com/mangalsutra/saraf+rs+jewellery/saraf-rs-jewellery-gold-plated--black-beads-ad-studded-mangalsurta--earrings-set/15057728/buy
JOKER & WITCH,Rhinestone Charm Chain,Rs. 1099,Rs. 318,(71% OFF),"4.3
|
1.5k",https://www.myntra.com/necklace-and-chains/joker+%26+witch/joker--witch-silver-toned-rhinestone-charm-chain/14670488/buy
Saraf RS Jewellery,Gold Plated Studs Earrings,Rs. 2000,Rs. 400,(80% OFF),"4.6
|
25",https://www.myntra.com/earrings/saraf+rs+jewellery/saraf-rs-jewellery-gold-plated-magenta-studs-earrings/15310104/buy
Zaveri Pearls,Set Of 2 Mangalsutras,Rs. 1995,Rs. 299,(85% OFF),"3.8
|
118",https://www.myntra.com/mangalsutra/zaveri+pearls/zaveri-pearls-set-of-2-rose-gold-plated-austrian-diamonds-studded--beaded-mangalsutras/25976990/buy
SOHI,Gold-Plated Finger Ring,Rs. 2298,Rs. 413,(82% OFF),"4.4
|
39",https://www.myntra.com/ring/sohi/sohi-gold-plated--pink-stone-studded-finger-ring/17780276/buy
Saraf RS Jewellery,Rose Gold-Plated Jewellery Set,Rs. 9995,Rs. 2498,(75% OFF),"5
|
11",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-rose-gold-plated-american-diamond-studded-jewellery-set/30077612/buy
Carlton London,925 Sterling Silver Necklace,Rs. 1195,Rs. 418,(65% OFF),"4.5
|
3.1k",https://www.myntra.com/necklace-and-chains/carlton+london/carlton-london-rose-gold-plated-layered-necklace/10552114/buy
Saraf RS Jewellery,Gold-Plated Jhumkas,Rs. 3395,Rs. 848,(75% OFF),"4.4
|
41",https://www.myntra.com/earrings/saraf+rs+jewellery/saraf-rs-jewellery-gold-plated-cubic-zirconia-studded-pearls-beaded-dome-shaped-jhumkas/30077706/buy
WROGN,Men Set Of 2 Finger Rings,Rs. 999,Rs. 279,(72% OFF),"4
|
164",https://www.myntra.com/ring/wrogn/wrogn-men-set-of-2-stainless-steel-finger-rings/27248658/buy
Kicky And Perky,Rhodium-Plated Beaded Anklets,Rs. 1199,Rs. 875,(27% OFF),"4.4
|
89",https://www.myntra.com/anklet/kicky+and+perky/kicky-and-perky-925-sterling-silver-black-beaded-anklets/25044392/buy
Saraf RS Jewellery,Silver-Plated Jewellery Set,Rs. 7695,Rs. 1923,(75% OFF),"4.2
|
38",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-silver-plated-ad-studded-necklace--earrings/23596872/buy
Saraf RS Jewellery,Silver-Plated Jewellery Set,Rs. 7695,Rs. 1923,(75% OFF),"4.2
|
38",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-silver-plated-ad-studded-necklace--earrings/23596872/buy
MINUTIAE,Silver-Plated Anklet,Rs. 1999,Rs. 599,(70% OFF),"4.4
|
38",https://www.myntra.com/anklet/minutiae/minutiae-silver-plated-crystals-anklet/29371638/buy
Anouk,Silver-Plated Finger Ring,Rs. 1799,Rs. 449,(75% OFF),"4.8
|
12",https://www.myntra.com/ring/anouk/anouk-silver-plated-ad-studded-adjustable-finger-ring/29586540/buy
Saraf RS Jewellery,Silver-Plated Jewellery Set,Rs. 10445,Rs. 2506,(76% OFF),"5
|
17",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-silver-plated-ad-studded-necklace--earrings/23596870/buy
Saraf RS Jewellery,Gold-Plated Jewellery Set,Rs. 5445,Rs. 1089,(80% OFF),"4.6
|
39",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-gold-plated-white-ad-studded-jewellery-set/20835172/buy
SALTY,Stainless Steel Necklace,Rs. 1329,Rs. 399,(Rs. 930 OFF),"4.4
|
254",https://www.myntra.com/necklace-and-chains/salty/salty-women-infinity-love-crystal-pendant-necklace-everyday-wear-jewelry/24728194/buy
Unwind by Yellow Chimes,Set Of 6 Finger Rings,Rs. 612,Rs. 299,(51% OFF),"4.2
|
627",https://www.myntra.com/ring/unwind+by+yellow+chimes/unwind-by-yellow-chimes-set-of-6--gold-plated-crystal-studded-snake-designed-finger-rings/18481344/buy
Saraf RS Jewellery,Rose Gold-Plated AD-Studded Statement Jewellery Set,Rs. 24495,Rs. 4899,(80% OFF),"4.4
|
119",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-rose-gold-plated--pink--white-ad-studded-statement-jewellery-set/18215436/buy
Saraf RS Jewellery,Rose Gold-Plated Jewellery Set,Rs. 5745,Rs. 1321,(77% OFF),"4.2
|
9",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-rose-gold-plated-american-diamond-studded-necklace-with-earrings/27278468/buy
Jewels Galaxy,Set Of 23 Gold-Plated Rings,Rs. 1499,Rs. 209,(86% OFF),"4.2
|
669",https://www.myntra.com/ring/jewels+galaxy/jewels-galaxy-set-of-23-gold-plated-finger-rings/23703904/buy
Saraf RS Jewellery,Gold-Plated Jewellery Set,Rs. 4795,Rs. 1198,(75% OFF),"4.4
|
114",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-gold-plated-exquisite-temple-jewellery-set/17655498/buy
Saraf RS Jewellery,Gold Plated Jewellery Set,Rs. 3745,Rs. 936,(75% OFF),"4.2
|
16",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-gold-plated-american-diamond-stones-studded-necklace--earrings/29330464/buy
Jewels Galaxy,4-Pcs Gold Plated Finger Rings,Rs. 1099,Rs. 274,(75% OFF),"4
|
27",https://www.myntra.com/ring/jewels+galaxy/jewels-galaxy-set-of-4-gold-plated-midi-adjustable-finger-rings/30994109/buy
Saraf RS Jewellery,Gold-Plated Studs Earrings,Rs. 3195,Rs. 639,(80% OFF),"4.4
|
57",https://www.myntra.com/earrings/saraf+rs+jewellery/saraf-rs-jewellery-gold-plated--white-ad-studded-contemporary-studs-earrings/16377696/buy
Saraf RS Jewellery,Rose Gold-Plated AD Studded Jewellery Set,Rs. 8295,Rs. 2073,(75% OFF),"4.2
|
86",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-rose-gold-toned-emerald-green-studded-designer-pendant-jewellery-set/19603014/buy
Anouk,Gold Plated Beaded Mangalsutra,Rs. 999,Rs. 329,(67% OFF),No Rating,https://www.myntra.com/mangalsutra/anouk/anouk-gold-plated-artificial-beaded-mangalsutra/26491864/buy
Carlton London,925 Sterling Silver Pendant,Rs. 1595,Rs. 382,(76% OFF),"4.5
|
165",https://www.myntra.com/pendant/carlton+london/carlton-london-18k-rose-gold-plated-cubic-zirconia-studded-heart-pendant-with-chain/21508512/buy
Saraf RS Jewellery,Rose Gold-Plated AD-Studded Handcrafted Jewellery Set,Rs. 4400,Rs. 836,(81% OFF),"4.4
|
284",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-rose-gold-plated-white-ad-studded-handcrafted-jewellery-set/14368956/buy
Kushal's Fashion Jewellery,Set Of 2 Studded Bangles,Rs. 4280,Rs. 3852,(10% OFF),No Rating,https://www.myntra.com/bangle/kushal%27s+fashion+jewellery/kushals-fashion-jewellery-set-of-2-rose-gold-plated-american-diamond-studded-bangles/30570284/buy
MYKI,Gold-Plated Necklace,Rs. 349,Rs. 331,(5% OFF),"4.5
|
182",https://www.myntra.com/necklace-and-chains/myki/myki-gold-plated-pearl-pendant-necklace/25793726/buy
Rubans,Rose Gold-Plated Beaded & Stone-Studded Mangalsutra,Rs. 1400,Rs. 504,(64% OFF),"4.3
|
1.1k",https://www.myntra.com/mangalsutra/rubans/rubans-rose-gold-plated-black-beaded--stone-studded-mangalsutra/18778234/buy
Saraf RS Jewellery,Rose Gold-Plated & AD Studded Handcrafted Jewellery Set,Rs. 14795,Rs. 2959,(80% OFF),"4.3
|
247",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-rose-gold-plated--pink-ad-studded-handcrafted-jewellery-set/15838782/buy
Saraf RS Jewellery,Gold-Plated Kundan Studded Bridal Nosepin,Rs. 2745,Rs. 521,(81% OFF),"4.2
|
95",https://www.myntra.com/nosepin/saraf+rs+jewellery/saraf-rs-jewellery-gold-plated-gold-kundan-studded-bridal-nosepin/18775526/buy
MINUTIAE,Gold-Plated Crystals-Beaded Mangalsutra,Rs. 1999,Rs. 399,(80% OFF),"4.3
|
1.6k",https://www.myntra.com/mangalsutra/minutiae/minutiae--gold-plated-crystals-beaded-mangalsutra/22135754/buy
ATIBELLE,Set of 3 CZ Rings,Rs. 4495,Rs. 899,(80% OFF),"4.3
|
20",https://www.myntra.com/ring/atibelle/atibelle-set-of-3-silver-plated-cubic-zirconia-studded-finger-rings/25782784/buy
Saraf RS Jewellery,Polki Studded With Beads Doublestrand Handcrafted Jewellery Set,Rs. 6145,Rs. 1167,(81% OFF),"4.1
|
82",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-goldplated-polki-studded-with-beads-handcrafted-jewellery-set/17495514/buy
Saraf RS Jewellery,Rose Gold Plated Jewellery Set,Rs. 20395,Rs. 4079,(80% OFF),"3.8
|
46",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-rose-gold-plated--white-studded-jewellery-set/17090120/buy
Jewels Galaxy,Set Of 2 Gold-Plated Necklace,Rs. 1329,Rs. 212,(84% OFF),"4
|
2.9k",https://www.myntra.com/necklace-and-chains/jewels+galaxy/jewels-galaxy-set-of-2-gold-plated-layered-necklace/15402704/buy
Saraf RS Jewellery,Rhodium-Plated Jewellery Set,Rs. 13045,Rs. 2609,(80% OFF),"4.3
|
161",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-rhodium-plated-pink-ad-studded-jewellery-set/17655528/buy
Saraf RS Jewellery,Set Of 2 Gold-Plated AD-Studded Handcrafted Bangles,Rs. 3400,Rs. 680,(80% OFF),"4.1
|
122",https://www.myntra.com/bangle/saraf+rs+jewellery/saraf-rs-jewellery-set-of-2-gold-plated-white-ad-studded-handcrafted-bangles/15181624/buy
Sangria,Set Of 2 Silver-Plated Anklets,Rs. 750,Rs. 360,(52% OFF),"4.7
|
19",https://www.myntra.com/anklet/sangria/sangria-silver-toned-set-of-2-silver-plated-stones-and-beads-anklets/28549244/buy
Roadster,Men 18 KT Gold-Plated Chain,Rs. 1858,Rs. 520,(72% OFF),"3.8
|
92",https://www.myntra.com/necklace-and-chains/roadster/the-roadster-lifestyle-co-men-18-kt-gold-plated-textured-chain/28198488/buy
Saraf RS Jewellery,Rose Gold-Plated & AD Studded Jewellery Set,Rs. 3795,Rs. 759,(80% OFF),"4.3
|
166",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-rose-gold-plated--white-ad-studded-jewellery-set/19280974/buy
Saraf RS Jewellery,Mangalsutra With Earring,Rs. 4400,Rs. 1056,(76% OFF),"4.3
|
131",https://www.myntra.com/mangalsutra/saraf+rs+jewellery/saraf-rs-jewellery-gold-plated-black--white-ad-studded-mangalsutra-with-earring/15057724/buy
SOHI,White Stone Pendant Chain,Rs. 1614,Rs. 290,(82% OFF),"4.6
|
15",https://www.myntra.com/necklace-and-chains/sohi/sohi-silver-toned--white-stone-pendant-chain/20270606/buy
Saraf RS Jewellery,Rose Gold-Plated American Diamond Studded Handcrafted Jewellery Set,Rs. 9450,Rs. 2268,(76% OFF),"4.7
|
108",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-rose-gold-plated-american-diamond-studded-handcrafted-jewellery-set/15256702/buy
Saraf RS Jewellery,Rhodium-Plated & AD Studded Jewellery Set,Rs. 10445,Rs. 1984,(81% OFF),"4.2
|
67",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-rhodium-plated--green-ad-studded-jewellery-set/17550838/buy
Anouk,Silver-Plated Finger Ring,Rs. 1799,Rs. 449,(75% OFF),"4.3
|
37",https://www.myntra.com/ring/anouk/anouk-silver-plated-ad-studded-adjustable-finger-ring/29586506/buy
Saraf RS Jewellery,Rose Gold-Plated Jewellery Set,Rs. 10500,Rs. 2100,(80% OFF),"4.2
|
229",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-rose-gold-plated-white-ad-studded-handcrafted-jewellery-set/15477924/buy
Saraf RS Jewellery,Silver-Plated Jewellery Set,Rs. 9545,Rs. 1909,(80% OFF),No Rating,https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-silver-plated-cubic-zirconia-studded-necklace-with-earrings/27278470/buy
AIKA BY MINUTIAE,Brass Gold-Plated Chain,Rs. 1999,Rs. 399,(80% OFF),"4.4
|
823",https://www.myntra.com/necklace-and-chains/aika+by+minutiae/aika-by-minutiae-gold-plated-brass-chain/23428808/buy
Saraf RS Jewellery,Emerald Studded Jewellery Set,Rs. 15995,Rs. 3358,(79% OFF),"4.9
|
7",https://www.myntra.com/jewellery-set/saraf+rs+jewellery/saraf-rs-jewellery-emerald-studded-jewellery-set/27608036/buy
JOKER & WITCH,Women Gold Layered Necklace,Rs. 1599,Rs. 223,(86% OFF),"4.5
|
147",https://www.myntra.com/necklace-and-chains/joker+%26+witch/joker--witch-women-gold-gold-layered-necklace/14304106/buy
